,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,attention_1,pm_highest,pm_lowest,am_highest,am_lowest,most_sim,most_diff,across_highest,across_lowest,range_3_highest_1,range_3_highest_2,range_3_lowest_1,range_3_lowest_2,range_12_highest,range_12_lowest,file
0,4.872,3.8930000000000002,3.748,2.358,2.468,3.048,2.108,2.623,2.9010000000000002,3.319,3.0,4.808,4.01,4.129,4.487,3.968,4.689,2.753,9.576,9.626,8.712,35.586,10.460999999999999,73.1,60.31399999999999,2020-03-02 19.11.38.txt
1,17.539,9.487,6.005,6.0889999999999995,5.941,4.577,2.5660000000000003,3.137,2.307,4.65,3.0,8.663,8.093,13.325999999999999,7.647,11.309000000000001,77.014,8.863999999999999,51.201,23.66,28.906999999999996,55.055,12.638,12.866,67.14699999999999,2020-03-03 08.25.07.txt
2,6.442,4.268,2.9410000000000003,6.562,3.333,4.563,4.381,5.008,4.545,4.506,3.0,4.744,14.093,6.504,5.494,5.441,8.327,4.523,4.7219999999999995,32.834,6.252000000000001,9.495,16.996,8.662,9.337,2020-03-03 08.59.16.txt
3,4.716,4.662,2.378,2.503,3.0860000000000003,2.752,2.511,2.52,3.304,3.608,3.0,2.125,3.075,2.87,2.716,4.296,13.347000000000001,2.362,2.9789999999999996,9.463,14.787,7.97,5.936,5.611000000000001,9.147,2020-03-03 10.53.26.txt
4,7.569,5.229,5.487,4.69,6.352,4.328,3.305,4.113,4.023,3.6860000000000004,3.0,6.2,4.747,4.402,2.7960000000000003,6.404,11.527000000000001,3.388,3.95,6.6160000000000005,7.03,22.655,7.126,12.755,5.832999999999999,2020-03-03 17.10.04.txt
5,6.867999999999999,6.337000000000001,3.383,4.136,3.222,5.147,5.239,4.801,3.0660000000000003,4.191,3.0,3.1260000000000003,10.095,3.785,8.554,3.819,6.172999999999999,6.234,22.087,14.224,16.061,9.794,7.1,2.648,4.138999999999999,2020-03-05 08.37.56.txt
6,6.074,5.447,4.877,6.7860000000000005,3.9939999999999998,3.563,2.5860000000000003,2.6710000000000003,3.225,2.984,3.0,2.759,6.244,6.943,2.955,7.723,3.347,13.775,4.502,16.691,11.378,20.368,10.147,6.48,6.104,2020-03-05 09.02.08.txt
7,10.444,3.786,3.01,2.747,4.948,5.851,5.312,5.254,4.346,3.3310000000000004,3.0,2.8989999999999996,5.561,3.792,2.9019999999999997,5.3660000000000005,9.482000000000001,6.275,6.629,13.375,6.58,18.287,8.263,7.215,5.18,2020-03-05 09.41.31.txt
8,6.655,6.402,9.568,10.104,3.6289999999999996,4.582,3.8819999999999997,4.876,4.558,7.8389999999999995,3.0,13.984000000000002,6.382999999999999,8.343,5.48,8.4,9.776,31.741999999999997,15.831,11.097999999999999,10.77,9.566,6.6610000000000005,9.818,5.234,2020-03-05 09.47.56.txt
9,3.47,6.271,3.385,3.252,2.239,2.427,2.952,2.539,3.1439999999999997,3.262,3.0,2.53,2.827,3.279,4.301,6.4270000000000005,4.033,2.7510000000000003,3.6630000000000003,4.73,4.25,3.576,5.145,4.177,11.56,2020-03-05 10.18.47.txt
10,4.082,4.159,5.614,2.471,2.6510000000000002,4.0169999999999995,3.216,2.693,2.6510000000000002,3.51,3.0,13.597000000000001,5.756,4.217,8.033999999999999,9.908,7.693,17.847,6.7989999999999995,10.982000000000001,7.825,10.319,6.196000000000001,4.021,3.984,2020-03-05 10.38.55.txt
11,6.625,3.522,2.365,2.656,1.795,2.353,2.687,2.8139999999999996,4.591,3.2710000000000004,3.0,8.027000000000001,8.506,5.952000000000001,4.427,6.586,12.022,12.135,5.638,15.257,10.877,17.535,18.570999999999998,3.448,9.902000000000001,2020-03-05 14.50.00.txt
12,6.25,5.501,5.4639999999999995,4.959,5.442,4.908,6.104,6.127999999999999,5.176,4.974,3.0,6.361000000000001,13.917,52.018,10.585999999999999,44.448,33.633,4.378,7.087000000000001,6.148,5.446000000000001,7.749,5.849,7.627000000000001,10.59,2020-03-05 15.43.20.txt
13,8.552999999999999,4.087,3.839,2.908,4.016,3.484,3.603,3.645,2.83,4.418,3.0,3.648,8.507,3.342,4.55,12.117,7.86,3.45,6.678,6.882000000000001,5.693,11.432,9.456,5.736000000000001,9.824,2020-03-05 15.49.03.txt
14,4.986000000000001,3.4189999999999996,3.721,3.7760000000000002,3.346,4.341,7.013,3.1430000000000002,2.945,3.162,3.0,4.765,3.3760000000000003,7.881,6.732,4.853,6.809,6.65,10.727,3.295,5.516,6.197,3.8789999999999996,16.416,12.081,2020-03-06 12.03.33.txt
15,10.600999999999999,11.713,7.166,6.059,8.47,6.4479999999999995,8.003,5.507999999999999,6.4510000000000005,7.843,3.0,29.092,10.17,5.516,35.086999999999996,23.085,17.093,9.968,42.651,22.936999999999998,19.000999999999998,29.031999999999996,16.756,7.897,11.692,2020-03-06 14.54.59.txt
16,3.7560000000000002,5.37,3.457,4.072,2.688,2.991,5.098,2.191,4.03,2.095,3.0,10.845,6.101,6.053999999999999,6.96,12.61,4.937,4.936,2.865,5.928999999999999,7.146,7.797999999999999,6.481,7.968999999999999,7.31,2020-03-06 22.20.55.txt
17,4.2219999999999995,5.459,2.702,4.194,4.185,4.808,3.0180000000000002,3.637,3.9789999999999996,4.256,3.0,11.324000000000002,6.787000000000001,14.222000000000001,4.088,5.867000000000001,7.167000000000001,4.885,7.369,9.417,7.751,7.789,7.229,7.971,11.130999999999998,2020-03-07 08.47.06.txt
18,3.4789999999999996,5.983,4.285,1.804,2.106,1.6059999999999999,1.719,2.145,4.022,2.825,3.0,2.306,5.849,4.454,2.7689999999999997,5.031000000000001,7.611000000000001,3.035,6.098,8.264,4.753,13.463,4.632,4.547,6.232,2020-03-07 17.57.26.txt
